Tree ID,Longitude,Latitude,Common Name,Condition Class / Infestation Pattern,List of Trees on  residential property,BTM positive trees self reported  on residential property,BTM positive Tree Species on property,Dbh 1. inches,Dbh 2,Dbh 3,Dbh 4,Dbh 5,Dbh 6,Number Observed BTM Nests,Entry Source,BTM (Y/N),Interest in Help,Tree Type,Distance to Water,Proposed Treatment Type (Insert/Injection; Manual Removal; Organic Spray),"Treatm.  Priority (1: High, 2: Med, 3: Low)",Geopoint
130,-69.633445106,44.551270843,Crabapple,Good,N/A,N/A,1,10,0,0,0,0,0,75,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.633445106 44.551270843)
101,-69.629734075,44.549535104,Crabapple,Fair,N/A,N/A,1,21,0,0,0,0,0,50,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.629734075 44.549535104)
59,-69.627130501,44.551959107,Elm-American,Good,N/A,N/A,1,4,0,0,0,0,0,50,Bartlett Invent Feb 2022,Y,N/A,Ornamental,<25,Insert/Injection,1,POINT(-69.627130501 44.551959107)
105,-69.629360613,44.549576086,Elm-American,Good,N/A,N/A,1,42,0,0,0,0,0,50,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.629360613 44.549576086)
353,-69.662300718,44.528730089,Oak-Northern Red,Good,N/A,N/A,1,24,0,0,0,0,0,50,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.662300718 44.528730089)
388,-69.659009354,44.527892994,Cherry-Black,Poor,N/A,N/A,1,24,0,0,0,0,0,45,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.659009354 44.527892994)
406,-69.661506932,44.528500767,Crabapple,Good,N/A,N/A,1,14,0,0,0,0,0,40,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.661506932 44.528500767)
60,-69.627170641,44.552107498,Elm-American,Good,N/A,N/A,1,4,0,0,0,0,0,40,Bartlett Invent Feb 2022,Y,N/A,Ornamental,<25,Insert/Injection,1,POINT(-69.627170641 44.552107498)
197,-69.630103804,44.568119203,Pear-Callery,Good,N/A,N/A,1,8,4,4,0,0,0,40,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.630103804 44.568119203)
63,-69.627096196,44.552256336,Serviceberry,Good,N/A,N/A,1,2,0,0,0,0,0,40,Bartlett Invent Feb 2022,Y,N/A,Bush,<25,Manual Removal,1,POINT(-69.627096196 44.552256336)
407,-69.661540577,44.528507084,Crabapple,Fair,N/A,N/A,1,10,0,0,0,0,0,35,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,>250,Organic Spray,1,POINT(-69.661540577 44.528507084)
88,-69.627276043,44.552245492,Elm-American,Good,N/A,N/A,1,5,0,0,0,0,0,35,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.627276043 44.552245492)
632,-69.652626982,44.576115339,Oak-Northern Red,Fair,N/A,N/A,1,19,0,0,0,0,0,35,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652626982 44.576115339)
40,-69.627339754,44.550694524,Birch-Paper,Fair,N/A,N/A,1,8,6,4,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Ornamental,25-250,Insert/Injection,1,POINT(-69.627339754 44.550694524)
46,-69.62782513,44.551100061,Crabapple,Good,N/A,N/A,1,3,0,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.62782513 44.551100061)
38,-69.627482167,44.550643005,Crabapple,Good,N/A,N/A,1,5,0,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.627482167 44.550643005)
39,-69.627441574,44.550653336,Crabapple,Good,N/A,N/A,1,5,0,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Fruiting/Flowering,25-250,Organic Spray,1,POINT(-69.627441574 44.550653336)
536,-69.652709761,44.576258458,Oak-Northern Red,Good,N/A,N/A,1,13,10,0,0,0,0,30,Bartlett Invent Feb 2022,Y,N/A,Ornamental,>250,Insert/Injection,1,POINT(-69.652709761 44.576258458)
